X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
77.0,77.0,train,0.012059992431189617,86.12781394040694,0.8345797696789123
78.0,78.0,train,0.008481198656980774,49.787447126694516,0.7178553198706233
79.0,79.0,train,0.005637476504582007,25.61863850839616,0.5687519840550035
80.0,80.0,train,0.0064475071995739,32.342502484693924,0.617842634439712
81.0,81.0,train,0.010703153099762976,71.21519299948548,0.7974635261905927
82.0,82.0,train,0.014091009663735993,94.00272761454599,0.8778224180495496
83.0,83.0,train,0.00634043943435683,31.06214388866271,0.6116891283911715
84.0,84.0,train,0.004938983333874507,20.215510830697973,0.521386374636327
85.0,85.0,train,0.009807812738604316,58.87924428611879,0.7685188410885392
86.0,86.0,train,0.0022691153470616866,9.675457019640085,0.2871869374842324
87.0,87.0,train,0.008479479944373498,48.9399866863583,0.7177829630967059
88.0,88.0,train,0.004116760199795825,16.093301095407945,0.458921936801888
