Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.38009E-4,5.065516422,0.130593405,0.460365854,0.011235955,0
9.44339E-4,5.25381403,0.131414027,0.454268293,0.011235955,0
9.82476E-4,5.544546328,0.136342145,0.445121951,0.011235955,0
1.02934E-3,5.750248557,0.142359645,0.43902439,0.011235955,0
1.06926E-3,6.065249138,0.147452382,0.429878049,0.011235955,0
1.18603E-3,6.300669039,0.16217644,0.423780488,0.011235955,0
1.32737E-3,6.564132817,0.179658776,0.417682927,0.011235955,0
1.38686E-3,6.839688369,0.186906752,0.411585366,0.02247191,0
1.44517E-3,7.128515588,0.193950083,0.405487805,0.02247191,0
1.4882E-3,7.277335707,0.199107997,0.402439024,0.02247191,0
1.49672E-3,7.575862599,0.200125695,0.396341463,0.02247191,0
1.50956E-3,7.877612806,0.201656435,0.390243902,0.02247191,0
1.83125E-3,8.060738245,0.239067251,0.387195122,0.02247191,0
1.85332E-3,8.429857356,0.241568038,0.381097561,0.02247191,0
1.86387E-3,8.61624392,0.242760478,0.37804878,0.02247191,0
2.03386E-3,8.819629594,0.261723709,0.375,0.033707865,0
2.03627E-3,9.023256417,0.261989275,0.37195122,0.033707865,0
2.13413E-3,9.448553306,0.272685689,0.365853659,0.033707865,0
2.26912E-3,9.675464841,0.287186937,0.362804878,0.033707865,0
2.28342E-3,9.903806506,0.288706212,0.359756098,0.04494382,0
2.42199E-3,10.146005435,0.303260579,0.356707317,0.04494382,0
2.45887E-3,10.391892559,0.307083879,0.353658537,0.04494382,0
2.59439E-3,10.651331302,0.320952629,0.350609756,0.04494382,0
2.70966E-3,10.922297327,0.332530968,0.347560976,0.04494382,0
2.7989E-3,11.20218756,0.341358946,0.344512195,0.04494382,0
2.81632E-3,11.483819448,0.343068155,0.341463415,0.04494382,0
2.97438E-3,11.781257837,0.358378807,0.338414634,0.04494382,0
3.08909E-3,12.090166922,0.369265751,0.335365854,0.056179775,0
3.11352E-3,12.401519404,0.37156083,0.332317073,0.056179775,0
3.32305E-3,12.733824654,0.390901997,0.329268293,0.056179775,0
3.41989E-3,13.075813979,0.399638954,0.326219512,0.056179775,0
3.43166E-3,13.418980267,0.40069223,0.323170732,0.056179775,0
3.50248E-3,13.769228623,0.406991149,0.320121951,0.056179775,0
3.6915E-3,14.138378261,0.423480053,0.317073171,0.056179775,0
3.70778E-3,14.509156625,0.424879265,0.31402439,0.056179775,0
3.80531E-3,14.889687271,0.433186529,0.31097561,0.056179775,0
3.85471E-3,15.27515785,0.437348608,0.307926829,0.056179775,0
4.06467E-3,15.681624745,0.454700485,0.304878049,0.056179775,0
4.11676E-3,16.093300765,0.458921937,0.301829268,0.056179775,0
4.38172E-3,16.531472531,0.47989341,0.298780488,0.06741573,0
4.38781E-3,16.970253321,0.480365776,0.295731707,0.06741573,0
4.40177E-3,17.410430233,0.481447004,0.292682927,0.078651685,0
4.44949E-3,17.855378736,0.485125411,0.289634146,0.08988764,0
4.55815E-3,18.311193906,0.493405414,0.286585366,0.08988764,0
4.5593E-3,18.767123535,0.493491915,0.283536585,0.08988764,0
4.71002E-3,19.23812526,0.504754412,0.280487805,0.08988764,0
4.83479E-3,19.721604326,0.513888287,0.277439024,0.08988764,0
4.93898E-3,20.215502659,0.521386375,0.274390244,0.08988764,0
5.14905E-3,20.730407641,0.536153722,0.271341463,0.101123596,0
5.22225E-3,21.252632149,0.541191468,0.268292683,0.112359551,0
5.25537E-3,21.778168737,0.543453029,0.265243902,0.112359551,0
5.37487E-3,22.315655554,0.551520628,0.262195122,0.112359551,0
5.3754E-3,22.853195532,0.551556196,0.259146341,0.123595506,0
5.40276E-3,23.393471634,0.55338306,0.256097561,0.123595506,0
5.43425E-3,23.936896669,0.555476339,0.25304878,0.134831461,0
5.5518E-3,24.492076369,0.563204052,0.25,0.134831461,0
5.63137E-3,25.055213368,0.568358917,0.24695122,0.146067416,0
5.63748E-3,25.618961018,0.568751984,0.243902439,0.157303371,0
5.8088E-3,26.199840832,0.579635,0.240853659,0.168539326,0
5.91615E-3,26.79145583,0.586313996,0.237804878,0.179775281,0
5.93207E-3,27.38466286,0.587295417,0.234756098,0.191011236,0
5.93356E-3,27.978018499,0.587386909,0.231707317,0.202247191,0
6.04702E-3,28.582720422,0.59431278,0.228658537,0.213483146,0
6.0666E-3,29.189380188,0.595496049,0.225609756,0.224719101,0
6.09722E-3,29.799102088,0.597339806,0.222560976,0.224719101,0
6.29005E-3,30.428107063,0.608758889,0.219512195,0.235955056,0
6.34044E-3,31.062151006,0.611689128,0.216463415,0.247191011,0
6.35621E-3,31.697771541,0.612601426,0.213414634,0.258426966,0
6.44751E-3,32.342522261,0.617842634,0.210365854,0.269662921,0
6.56353E-3,32.998875502,0.624400908,0.207317073,0.280898876,0
